trade_id,variant,side,signal_time,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,lot_size,pnl_points,gross_pnl,commission,fees,net_pnl,pnl_r,mae_points,mfe_points,bars_held,costs_included
"TR000225","KEEPER_SL12_TP36",sell,"2026-03-24T11:08:00+00:00","2026-03-24T11:08:00+00:00",24262.80000000,24274.80000000,24226.80000000,"2026-03-24T11:16:00+00:00",24274.80000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,13.10000000,13.00000000,8,false
"TR000226","KEEPER_SL12_TP36",sell,"2026-03-25T10:20:00+00:00","2026-03-25T10:20:00+00:00",24176.00000000,24188.00000000,24140.00000000,"2026-03-25T10:40:00+00:00",24188.00000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,17.40000000,32.60000000,20,false
"TR000227","KEEPER_SL12_TP36",sell,"2026-03-25T10:59:00+00:00","2026-03-25T10:59:00+00:00",24202.00000000,24214.00000000,24166.00000000,"2026-03-25T11:02:00+00:00",24214.00000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,22.50000000,4.20000000,3,false
"TR000228","KEEPER_SL12_TP36",sell,"2026-03-25T12:20:00+00:00","2026-03-25T12:20:00+00:00",24261.80000000,24273.80000000,24225.80000000,"2026-03-25T12:45:00+00:00",24225.80000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,1.80000000,39.90000000,25,false
"TR000229","KEEPER_SL12_TP36",sell,"2026-03-25T13:08:00+00:00","2026-03-25T13:08:00+00:00",24249.40000000,24261.40000000,24213.40000000,"2026-03-25T13:16:00+00:00",24261.40000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,13.00000000,9.30000000,8,false
"TR000230","KEEPER_SL12_TP36",sell,"2026-03-25T13:17:00+00:00","2026-03-25T13:17:00+00:00",24263.30000000,24275.30000000,24227.30000000,"2026-03-25T13:30:00+00:00",24227.30000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,36.50000000,13,false
"TR000231","KEEPER_SL12_TP36",sell,"2026-03-26T06:47:00+00:00","2026-03-26T06:47:00+00:00",24186.80000000,24198.80000000,24150.80000000,"2026-03-26T07:05:00+00:00",24150.80000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,36.00000000,18,false
"TR000232","KEEPER_SL12_TP36",sell,"2026-03-26T08:42:00+00:00","2026-03-26T08:42:00+00:00",24083.70000000,24095.70000000,24047.70000000,"2026-03-26T08:52:00+00:00",24047.70000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,36.10000000,10,false
"TR000233","KEEPER_SL12_TP36",sell,"2026-03-26T09:41:00+00:00","2026-03-26T09:41:00+00:00",24068.60000000,24080.60000000,24032.60000000,"2026-03-26T09:55:00+00:00",24080.60000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,18.40000000,10.70000000,14,false
"TR000234","KEEPER_SL12_TP36",sell,"2026-03-26T12:59:00+00:00","2026-03-26T12:59:00+00:00",23947.10000000,23959.10000000,23911.10000000,"2026-03-26T13:05:00+00:00",23959.10000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,39.70000000,22.00000000,6,false
